18:56:41.061 |V| JetEnvironment                | :1                 | JetEnvironment is initiating startup.
18:56:41.984 |V| CatalogComponentSource        | :1                 | Created a CatalogComponentSource for container “Container: JetEnvironment”. To trace eligible components set, enable TRACE level for this log category (JetBrains.Application.Extensibility.CatalogComponentSource).
18:56:41.986 |V| JetEnvironment                | :1                 | Publishing context to the container.
18:56:41.991 |V| JetEnvironment                | :1                 | Wired up the Environment container, composing now.
18:56:42.101 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_ROAMING_APPDATA_DIR (no PID suffix).
18:56:42.101 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_ROAMING_APPDATA_DIR (no PID suffix) has no value.
18:56:42.101 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_ROAMING_APPDATA_DIR_PID_00003248 (PID-specific).
18:56:42.101 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_ROAMING_APPDATA_DIR_PID_00003248 (PID-specific) has no value.
18:56:42.101 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
18:56:42.103 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_LOCAL_APPDATA_DIR (no PID suffix).
18:56:42.103 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_LOCAL_APPDATA_DIR (no PID suffix) has no value.
18:56:42.103 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_LOCAL_APPDATA_DIR_PID_00003248 (PID-specific).
18:56:42.103 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_LOCAL_APPDATA_DIR_PID_00003248 (PID-specific) has no value.
18:56:42.103 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
18:56:42.144 |V| ThreadManagementUnit(S)       | :1                 | Short Tasks: starting executor JetPool(S) #1
18:56:42.144 |V| ThreadManagementUnit(S)       | :1                 | Short Tasks: starting executor JetPool(S) #2
18:56:42.149 |V| ThreadManagementUnit(S)       | JetPool Manager:8  | All threads are busy. Adding new thread to the pool
18:56:42.149 |V| ThreadManagementUnit(S)       | JetPool Manager:8  | Short Tasks: starting executor JetPool(S) #3
18:56:42.151 |V| ThreadManagementUnit(S)       | JetPool Manager:8  | All threads are busy. Adding new thread to the pool
18:56:42.151 |V| ThreadManagementUnit(S)       | JetPool Manager:8  | Short Tasks: starting executor JetPool(S) #4
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_BACKEND_CULTURE (no PID suffix).
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_BACKEND_CULTURE (no PID suffix) has no value.
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_BACKEND_CULTURE_PID_00003248 (PID-specific).
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_BACKEND_CULTURE_PID_00003248 (PID-specific) has no value.
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_I18N_DEBUG (no PID suffix).
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_I18N_DEBUG (no PID suffix) has no value.
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_I18N_DEBUG_PID_00003248 (PID-specific).
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_I18N_DEBUG_PID_00003248 (PID-specific) has no value.
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_I18N_DEBUG_LOWLINE (no PID suffix).
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_I18N_DEBUG_LOWLINE (no PID suffix) has no value.
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_I18N_DEBUG_LOWLINE_PID_00003248 (PID-specific).
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_I18N_DEBUG_LOWLINE_PID_00003248 (PID-specific) has no value.
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_BACKEND_CULTURE (no PID suffix).
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_BACKEND_CULTURE (no PID suffix) has no value.
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_BACKEND_CULTURE_PID_00003248 (PID-specific).
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_BACKEND_CULTURE_PID_00003248 (PID-specific) has no value.
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_I18N_DEBUG (no PID suffix).
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_I18N_DEBUG (no PID suffix) has no value.
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_I18N_DEBUG_PID_00003248 (PID-specific).
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_I18N_DEBUG_PID_00003248 (PID-specific) has no value.
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_I18N_DEBUG_LOWLINE (no PID suffix).
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_I18N_DEBUG_LOWLINE (no PID suffix) has no value.
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | Reading environment variable JET_I18N_DEBUG_LOWLINE_PID_00003248 (PID-specific).
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | The environment variable JET_I18N_DEBUG_LOWLINE_PID_00003248 (PID-specific) has no value.
18:56:42.154 |V| EnvironmentVariablesUtil      | :1                 | No environment variables for additional packages are set.
18:56:42.155 |V| JetScheduler                  | JetPool(S) #2:14   | Thread 'JetPool(S) #2' started execution in unit 'Short Tasks'. #allExecutors=2, #freeExecutors=0
18:56:42.155 |V| JetScheduler                  | JetPool(S) #4:16   | Thread 'JetPool(S) #4' started execution in unit 'Short Tasks'. #allExecutors=2, #freeExecutors=0
